DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180911 014057733,1.16078,1.1608,0
20180910 111855867,1.16059,1.16062,0
20180904 112221810,1.15547,1.15549,0
20180921 104616430,1.17555,1.17557,0
20180927 220459303,1.16452,1.16455,0
20180920 060930130,1.17004,1.1701,0
20180914 024101283,1.17057,1.17062,0
20180917 101349617,1.16935,1.16939,0
20180917 231136260,1.16927,1.16931,0
20180925 123210730,1.17707,1.17713,0
20180913 045303973,1.1618600000000001,1.1619,0
20180904 210515477,1.15855,1.15859,0
20180905 223416517,1.16446,1.16449,0
20180913 014543253,1.16239,1.1624299999999999,0
20180904 033050373,1.15791,1.15795,0
20180926 031305617,1.1769,1.1769399999999999,0
20180928 115907950,1.16244,1.16246,0
20180913 220049067,1.16908,1.1691200000000002,0
20180928 113319720,1.1617600000000001,1.1618,0
20180914 123150960,1.16351,1.16356,0
20180907 121953197,1.156,1.15604,0
20180928 144629680,1.16113,1.16115,0
20180917 020623407,1.16383,1.16388,0
20180913 094349173,1.16953,1.1695799999999998,0
20180920 091544870,1.17645,1.17648,0
20180911 042153190,1.16257,1.1626100000000001,0
20180921 113802177,1.17408,1.17412,0
20180903 073544290,1.16172,1.16174,0
20180904 180942253,1.15824,1.15838,0
20180917 072721370,1.16619,1.1662299999999999,0
20180925 005931073,1.17416,1.17419,0
20180904 053949857,1.15628,1.15631,0
20180911 115456613,1.1584299999999998,1.15846,0
20180928 134631187,1.16123,1.16127,0
20180918 150309907,1.16645,1.16649,0
20180917 102324117,1.1692,1.16924,0
20180918 060820480,1.16783,1.16785,0
20180921 080552197,1.17641,1.17646,0
20180927 023038450,1.16924,1.1692799999999999,0
20180921 115916173,1.17387,1.17391,0
20180920 020135160,1.16877,1.16883,0
20180914 165205423,1.16212,1.16221,0
20180913 041854227,1.16219,1.1622299999999999,0
20180917 204612293,1.16719,1.16723,0
20180912 044848200,1.15777,1.15778,0
20180920 084634360,1.1766299999999998,1.17668,0
20180920 165135547,1.17775,1.17779,0
20180928 071340000,1.1576899999999999,1.1577,0
20180913 055505713,1.16177,1.16182,0
20180930 220803160,1.16001,1.16005,0
20180928 062509757,1.1589200000000002,1.1589399999999999,0
20180902 210636877,1.15927,1.15931,0
20180927 045741433,1.17111,1.17115,0
20180912 052531947,1.1591799999999999,1.1592,0
20180917 234219020,1.17005,1.17009,0
20180911 142417337,1.15873,1.15877,0
20180925 092416003,1.17877,1.1788,0
20180926 150505033,1.17577,1.1758,0
20180911 081652400,1.15842,1.15846,0
20180904 183902250,1.15824,1.1583,0
20180910 022750473,1.15536,1.15541,0
20180914 034750273,1.17155,1.17159,0
20180903 050852560,1.16076,1.1608,0
20180924 031452260,1.1742299999999999,1.1742700000000001,0
20180919 112121017,1.16731,1.16736,0
20180904 092900577,1.15498,1.1550200000000002,0
20180919 051035060,1.17002,1.17006,0
20180904 085758830,1.1565,1.1565299999999998,0
20180913 021758500,1.1623299999999999,1.1623700000000001,0
20180910 111215633,1.16045,1.16048,0
20180904 213249227,1.16002,1.16006,0
20180924 102930687,1.17848,1.17852,0
20180905 215440523,1.16424,1.16428,0
20180906 065517950,1.16245,1.1624700000000001,0
20180927 050645947,1.1709,1.1709100000000001,0
20180919 110643270,1.16834,1.1684,0
20180904 200627987,1.15835,1.15841,0
20180905 135102840,1.16248,1.16251,0
20180919 050820560,1.16985,1.1698899999999999,0
20180907 120519683,1.15689,1.15695,0
20180918 164021147,1.16697,1.1670399999999999,0
20180910 031144700,1.15426,1.15429,0
20180926 133037793,1.17572,1.17577,0
20180926 155937777,1.1746,1.17465,0
20180911 001800233,1.15994,1.15998,0
20180919 124155260,1.16878,1.16882,0
20180919 130709007,1.1676600000000001,1.1677,0
20180911 044723203,1.16109,1.16116,0
20180917 153235327,1.16858,1.16862,0
20180904 225424963,1.16049,1.1605299999999998,0
20180917 215920283,1.16775,1.16781,0
20180920 060459147,1.17008,1.17011,0
20180914 142456943,1.16282,1.16287,0
20180905 020742187,1.15831,1.1583299999999999,0
20180912 121441640,1.16259,1.16264,0
20180924 090640463,1.1780899999999999,1.17814,0
20180910 063353917,1.15754,1.1575799999999998,0
20180928 024138517,1.16272,1.1627399999999999,0
20180927 100001397,1.16831,1.1683299999999999,0
20180928 021132023,1.1638600000000001,1.1639,0
20180917 123936583,1.1690200000000002,1.16906,0
20180914 015711787,1.16909,1.16913,0
20180927 102723393,1.16934,1.16937,0
20180920 053741383,1.17035,1.17038,0
20180905 124952350,1.16211,1.16214,0
20180903 222241167,1.1599899999999999,1.16003,0
20180928 113753203,1.1619899999999999,1.16202,0
20180905 042835917,1.15591,1.15595,0
20180926 055322347,1.17661,1.17664,0
20180907 060801493,1.16331,1.16334,0
20180904 123208550,1.1573,1.15734,0
20180926 141128557,1.17745,1.17749,0
20180927 125319373,1.1677799999999998,1.16784,0
20180905 062621900,1.15814,1.15819,0
20180927 040221440,1.17032,1.17036,0
20180925 134944970,1.17634,1.17638,0
20180926 111751810,1.17467,1.1747100000000001,0
20180928 061102243,1.15829,1.15832,0
20180924 032055993,1.1743700000000001,1.1744,0
20180910 192616533,1.15944,1.15951,0
20180925 033901800,1.17679,1.1768100000000001,0
20180921 010031490,1.17784,1.1778899999999999,0
20180925 091055007,1.17828,1.1783,0
20180906 231306057,1.16216,1.16219,0
20180921 045115717,1.1791,1.17915,0
20180927 035839440,1.17034,1.17038,0
20180913 095446920,1.17002,1.17004,0
20180914 140432447,1.16291,1.16295,0
20180920 113207837,1.17492,1.17495,0
20180904 090424593,1.15585,1.1558899999999999,0
20180917 200010783,1.16688,1.1669100000000001,0
20180903 075746287,1.16103,1.16107,0
20180905 022955683,1.1570200000000002,1.15706,0
20180911 015823967,1.1611,1.16115,0
20180930 211941917,1.16021,1.1602299999999999,0
20180906 181124610,1.16231,1.1624700000000001,0
20180904 090154827,1.156,1.15603,0
20180904 103729580,1.15391,1.15396,0
20180917 105753097,1.16885,1.1689,0
20180927 025931947,1.17041,1.17046,0
20180907 022054530,1.16357,1.16363,0
20180924 061526720,1.17708,1.1771200000000002,0
20180907 090433463,1.1566100000000001,1.15667,0
20180905 235924757,1.16344,1.16346,0
20180912 152953597,1.16244,1.16249,0
20180912 071415680,1.15735,1.15741,0
20180919 223852687,1.16818,1.16821,0
20180919 065415547,1.16945,1.16949,0
20180906 054818460,1.16211,1.16214,0
20180926 070536840,1.17489,1.17493,0
20180906 111129683,1.16119,1.1612200000000001,0
20180906 112035417,1.16105,1.1611,0
20180927 110449387,1.16753,1.16757,0
20180907 030140523,1.16462,1.16464,0
20180921 084126693,1.17556,1.17559,0
20180927 100950393,1.16943,1.16946,0
20180911 114222880,1.15875,1.15879,0
20180926 143627803,1.17436,1.17446,0
20180921 025037480,1.1786,1.17864,0
20180921 023005733,1.17756,1.17761,0
20180928 103448460,1.15909,1.1591200000000002,0
20180903 060102817,1.15988,1.15991,0
20180918 112022683,1.16897,1.16901,0
20180924 105932950,1.17892,1.17893,0
20180905 052954160,1.15802,1.15806,0
20180927 080132410,1.1704700000000001,1.1705,0
20180921 154922647,1.17487,1.17492,0
20180912 142413107,1.16333,1.16337,0
20180913 054038463,1.1617899999999999,1.16183,0
20180927 034138693,1.17013,1.1701700000000002,0
20180911 163439813,1.15988,1.15996,0
20180920 045437390,1.16872,1.16877,0
20180917 121540587,1.16878,1.1688100000000001,0
20180919 022104080,1.16772,1.1677600000000001,0
20180917 053714150,1.16549,1.16553,0
20180910 121030110,1.16046,1.1605,0
20180907 044620007,1.16441,1.1644700000000001,0
20180913 222038317,1.16927,1.1693,0
20180905 083018133,1.15812,1.15818,0
20180907 063129003,1.16268,1.16276,0
20180903 041037067,1.16195,1.16196,0
20180927 031246697,1.17003,1.17008,0
20180928 030828017,1.16161,1.16165,0
20180906 080011943,1.1630200000000002,1.16305,0
20180919 064617313,1.16962,1.1696600000000001,0
20180924 021500750,1.17364,1.17367,0
20180905 024724947,1.15741,1.1574200000000001,0
20180902 181743650,1.16005,1.16028,0
20180914 063958003,1.16977,1.16982,0
20180906 102616173,1.16416,1.1642,0
