CMRR,BOLT_LENGTH_ft,BOLT_TENSION,BOLT_GROUT_COLUMN,BOLT_CAPACITY_Kips,BOLTS_PER_ROW,ROW_SPACING_ft,ENTRY_WIDTH_ft,PRSUP,INTERSECTION_DIAGONAL_ft,DEPTH_of_COVER_ft,MINING_HEIGHT_ft,DRIVAGE_10000_ft,No._of_3WAY,No._of_4Way,No._of_SEGMENTS,FALLS_3W,FALLS_4W,SEGMENT_FALLS,ROOF_FALL_RATE
59,6,0,3,20.5,4,5,18.5,5.32,65.9,150,6,3.5,94,282,705,0,0,0,0
59,6,1,3,20.5,4,5,18.5,5.32,65.9,150,6,3.5,95,300,742.5,0,0,0,0
50,4,0,3,17.7,4,4,18,3.93,60,400,7,3.02,82,175,473,0,1,1,0.66
50,6,0,3,17.7,4,4,18,5.9,60,400,7,0.93,22,55,143,0,1,0,1.08
75,4,0,3,17.7,4,4,18,3.93,60,400,7,2.34,58,116,319,0,0,0,0
75,2.5,1,1,17.7,4,4,18,2.46,60,400,7,2.32,51,140,356.5,0,0,0,0
44,6,0,3,18.6,4,4,18,6.2,62,350,3.5,1.4,28,128,298,0,2,3,3.57
44,6,1,2,26.4,4,4,18,8.8,62,350,3.5,0.44,15,39,100.5,0,0,0,0
44,4,0,3,19.6,4,4,18,4.36,62,350,3.5,4.75,122,461,1105,0,0,0,0
45,6,1,1,18,4,5,19,4.55,65,350,5.5,5.8,148,434,1090,0,24,9,5.69
41,5,0,3,18,4,5,19,3.79,59,350,5.5,8.6,220,562,1454,1,6,4,1.28
45,6,1,3,18,4,5,19,4.55,59,350,5.5,6.9,150,444,0,0,2,0,0.29
41,4,0,3,18,4,5,19,3.03,59,350,5.5,6.9,0,0,1113,0,0,4,0.58
45,6,0,3,18,4,5,19,4.55,59,350,5.5,21.9,700,1250,3550,0,2,3,0.23
41,4,0,3,20,4,4,20,4,61,300,8,8.52,265,690,1777.5,1,1,0,0.23
78,4,0,3,20,4,4,20,4,61,300,8,4.94,155,445,1122.5,0,0,0,0
70,6,0,3,20.5,4,4,18,6.83,60,500,7,2.93,53,203,485.5,0,0,0,0
50,6,0,3,20.5,4,4,18,6.83,60,500,7,5.24,96,489,1122,1,2,3,1.15
30,6,0,3,20.5,4,4,18,6.83,60,500,7,5.1,720,3667,8414,5,17,19,8.04
40,5,0,3,20,4,4,16,6.25,61,750,7,176.7,4604,5528,17962,23,23,46,0.52
38,4,0,3,20.5,4,4,19,4.32,60,600,4,39.84,1000,3079,7658,3,11,12,0.65
40,5,0,3,33,4,4,16,10.31,61,500,6.5,46.27,1207,1684,5178.5,4,7,7,0.39
40,6,1,2,33,3,4,16,9.28,61,725,6.5,17.12,483,385,1494.5,3,0,1.5,0.26
55,6,0,3,26,4,4,19,8.21,75.2,1050,10,3.79,149,89,401.5,1,2,0,0.79
55,5,0,3,26,4,4,19,6.84,75.2,1050,10,9.77,207,288,886.5,0,0,0,0
55,4,0,3,26,4,4,19,5.47,75.2,1050,10,0.74,18,36,99,0,3,0,4.05
55,5,1,2,30,4,4,19,7.89,75.2,1050,10,11.34,540,270,1350,0,4,0,0.35
