DateKey,Date
D20180610,2018-06-10
D20180611,2018-06-11
D20180612,2018-06-12
D20180613,2018-06-13
D20180614,2018-06-14
D20180615,2018-06-15
D20180616,2018-06-16
D20180617,2018-06-17
D20180618,2018-06-18
D20180619,2018-06-19
D20180620,2018-06-20
D20180621,2018-06-21
D20180622,2018-06-22
D20180623,2018-06-23
D20180624,2018-06-24
D20180625,2018-06-25
D20180626,2018-06-26
D20180627,2018-06-27
D20180628,2018-06-28
D20180629,2018-06-29
D20180630,2018-06-30
D20180701,2018-07-01
D20180702,2018-07-02
D20180703,2018-07-03
D20180704,2018-07-04
D20180705,2018-07-05
D20180706,2018-07-06
D20180707,2018-07-07
D20180708,2018-07-08
D20180709,2018-07-09
D20180710,2018-07-10
D20180711,2018-07-11
D20180712,2018-07-12
D20180713,2018-07-13
D20180714,2018-07-14
D20180715,2018-07-15
D20180716,2018-07-16
D20180717,2018-07-17
D20180718,2018-07-18
D20180719,2018-07-19
D20180720,2018-07-20
D20180721,2018-07-21
D20180722,2018-07-22
D20180723,2018-07-23
D20180724,2018-07-24
D20180725,2018-07-25
D20180726,2018-07-26
D20180727,2018-07-27
D20180728,2018-07-28
D20180729,2018-07-29
D20180730,2018-07-30
D20180731,2018-07-31
D20180801,2018-08-01
D20180802,2018-08-02
D20180803,2018-08-03
D20180804,2018-08-04
D20180805,2018-08-05
D20180806,2018-08-06
D20180807,2018-08-07
D20180808,2018-08-08
D20180809,2018-08-09
D20180810,2018-08-10
D20180811,2018-08-11
D20180812,2018-08-12
D20180813,2018-08-13
D20180814,2018-08-14
D20180815,2018-08-15
D20180816,2018-08-16
D20180817,2018-08-17
D20180818,2018-08-18
D20180819,2018-08-19
D20180820,2018-08-20
D20180821,2018-08-21
D20180822,2018-08-22
D20180823,2018-08-23
D20180824,2018-08-24
D20180825,2018-08-25
D20180826,2018-08-26
D20180827,2018-08-27
D20180828,2018-08-28
D20180829,2018-08-29
D20180830,2018-08-30
D20180831,2018-08-31
D20180901,2018-09-01
D20180902,2018-09-02
D20180903,2018-09-03
D20180904,2018-09-04
D20180905,2018-09-05
D20180906,2018-09-06
D20180907,2018-09-07
D20180908,2018-09-08
D20180909,2018-09-09
D20180910,2018-09-10
D20180911,2018-09-11
D20180912,2018-09-12
D20180913,2018-09-13
D20180914,2018-09-14
D20180915,2018-09-15
D20180916,2018-09-16
D20180917,2018-09-17
D20180918,2018-09-18
D20180919,2018-09-19
D20180920,2018-09-20
D20180921,2018-09-21
D20180922,2018-09-22
D20180923,2018-09-23
D20180924,2018-09-24
D20180925,2018-09-25
D20180926,2018-09-26
D20180927,2018-09-27
D20180928,2018-09-28
D20180929,2018-09-29
D20180930,2018-09-30
D20181001,2018-10-01
D20181002,2018-10-02
D20181003,2018-10-03
D20181004,2018-10-04
D20181005,2018-10-05
D20181006,2018-10-06
D20181007,2018-10-07
D20181008,2018-10-08
D20181009,2018-10-09
D20181010,2018-10-10
D20181011,2018-10-11
D20181012,2018-10-12
D20181013,2018-10-13
D20181014,2018-10-14
D20181015,2018-10-15
D20181016,2018-10-16
D20181017,2018-10-17
D20181018,2018-10-18
D20181019,2018-10-19
D20181020,2018-10-20
D20181021,2018-10-21
D20181022,2018-10-22
D20181023,2018-10-23
D20181024,2018-10-24
D20181025,2018-10-25
D20181026,2018-10-26
D20181027,2018-10-27
D20181028,2018-10-28
D20181029,2018-10-29
D20181030,2018-10-30
D20181031,2018-10-31
D20181101,2018-11-01
D20181102,2018-11-02
D20181103,2018-11-03
D20181104,2018-11-04
D20181105,2018-11-05
D20181106,2018-11-06
D20181107,2018-11-07
D20181108,2018-11-08
D20181109,2018-11-09
D20181110,2018-11-10
D20181111,2018-11-11
D20181112,2018-11-12
D20181113,2018-11-13
D20181114,2018-11-14
D20181115,2018-11-15
D20181116,2018-11-16
D20181117,2018-11-17
D20181118,2018-11-18
D20181119,2018-11-19
D20181120,2018-11-20
D20181121,2018-11-21
D20181122,2018-11-22
D20181123,2018-11-23
D20181124,2018-11-24
D20181125,2018-11-25
D20181126,2018-11-26
D20181127,2018-11-27
D20181128,2018-11-28
D20181129,2018-11-29
D20181130,2018-11-30
D20181201,2018-12-01
D20181202,2018-12-02
D20181203,2018-12-03
D20181204,2018-12-04
D20181205,2018-12-05
D20181206,2018-12-06
D20181207,2018-12-07
D20181208,2018-12-08
D20181209,2018-12-09
D20181210,2018-12-10
D20181211,2018-12-11
D20181212,2018-12-12
D20181213,2018-12-13
D20181214,2018-12-14
D20181215,2018-12-15
D20181216,2018-12-16
D20181217,2018-12-17
D20181218,2018-12-18
D20181219,2018-12-19
D20181220,2018-12-20
D20181221,2018-12-21
D20181222,2018-12-22
D20181223,2018-12-23
D20181224,2018-12-24
D20181225,2018-12-25
D20181226,2018-12-26
D20181227,2018-12-27
D20181228,2018-12-28
D20181229,2018-12-29
D20181230,2018-12-30
D20181231,2018-12-31
