DateKey,Date
D20170101,2017-01-01
D20170102,2017-01-02
D20170103,2017-01-03
D20170104,2017-01-04
D20170105,2017-01-05
D20170106,2017-01-06
D20170107,2017-01-07
D20170108,2017-01-08
D20170109,2017-01-09
D20170110,2017-01-10
D20170111,2017-01-11
D20170112,2017-01-12
D20170113,2017-01-13
D20170114,2017-01-14
D20170115,2017-01-15
D20170116,2017-01-16
D20170117,2017-01-17
D20170118,2017-01-18
D20170119,2017-01-19
D20170120,2017-01-20
D20170121,2017-01-21
D20170122,2017-01-22
D20170123,2017-01-23
D20170124,2017-01-24
D20170125,2017-01-25
D20170126,2017-01-26
D20170127,2017-01-27
D20170128,2017-01-28
D20170129,2017-01-29
D20170130,2017-01-30
D20170131,2017-01-31
D20170201,2017-02-01
D20170202,2017-02-02
D20170203,2017-02-03
D20170204,2017-02-04
D20170205,2017-02-05
D20170206,2017-02-06
D20170207,2017-02-07
D20170208,2017-02-08
D20170209,2017-02-09
D20170210,2017-02-10
D20170211,2017-02-11
D20170212,2017-02-12
D20170213,2017-02-13
D20170214,2017-02-14
D20170215,2017-02-15
D20170216,2017-02-16
D20170217,2017-02-17
D20170218,2017-02-18
D20170219,2017-02-19
D20170220,2017-02-20
D20170221,2017-02-21
D20170222,2017-02-22
D20170223,2017-02-23
D20170224,2017-02-24
D20170225,2017-02-25
D20170226,2017-02-26
D20170227,2017-02-27
D20170228,2017-02-28
D20170301,2017-03-01
D20170302,2017-03-02
D20170303,2017-03-03
D20170304,2017-03-04
D20170305,2017-03-05
D20170306,2017-03-06
D20170307,2017-03-07
D20170308,2017-03-08
D20170309,2017-03-09
D20170310,2017-03-10
D20170311,2017-03-11
D20170312,2017-03-12
D20170313,2017-03-13
D20170314,2017-03-14
D20170315,2017-03-15
D20170316,2017-03-16
D20170317,2017-03-17
D20170318,2017-03-18
D20170319,2017-03-19
D20170320,2017-03-20
D20170321,2017-03-21
D20170322,2017-03-22
D20170323,2017-03-23
D20170324,2017-03-24
D20170325,2017-03-25
D20170326,2017-03-26
D20170327,2017-03-27
D20170328,2017-03-28
D20170329,2017-03-29
D20170330,2017-03-30
D20170331,2017-03-31
D20170401,2017-04-01
D20170402,2017-04-02
D20170403,2017-04-03
D20170404,2017-04-04
D20170405,2017-04-05
D20170406,2017-04-06
D20170407,2017-04-07
D20170408,2017-04-08
D20170409,2017-04-09
D20170410,2017-04-10
D20170411,2017-04-11
D20170412,2017-04-12
D20170413,2017-04-13
D20170414,2017-04-14
D20170415,2017-04-15
D20170416,2017-04-16
D20170417,2017-04-17
D20170418,2017-04-18
D20170419,2017-04-19
D20170420,2017-04-20
D20170421,2017-04-21
D20170422,2017-04-22
D20170423,2017-04-23
D20170424,2017-04-24
D20170425,2017-04-25
D20170426,2017-04-26
D20170427,2017-04-27
D20170428,2017-04-28
D20170429,2017-04-29
D20170430,2017-04-30
D20170501,2017-05-01
D20170502,2017-05-02
D20170503,2017-05-03
D20170504,2017-05-04
D20170505,2017-05-05
D20170506,2017-05-06
D20170507,2017-05-07
D20170508,2017-05-08
D20170509,2017-05-09
D20170510,2017-05-10
D20170511,2017-05-11
D20170512,2017-05-12
D20170513,2017-05-13
D20170514,2017-05-14
D20170515,2017-05-15
D20170516,2017-05-16
D20170517,2017-05-17
D20170518,2017-05-18
D20170519,2017-05-19
D20170520,2017-05-20
D20170521,2017-05-21
D20170522,2017-05-22
D20170523,2017-05-23
D20170524,2017-05-24
D20170525,2017-05-25
D20170526,2017-05-26
D20170527,2017-05-27
D20170528,2017-05-28
D20170529,2017-05-29
D20170530,2017-05-30
D20170531,2017-05-31
D20170601,2017-06-01
D20170602,2017-06-02
D20170603,2017-06-03
D20170604,2017-06-04
D20170605,2017-06-05
D20170606,2017-06-06
D20170607,2017-06-07
D20170608,2017-06-08
D20170609,2017-06-09
D20170610,2017-06-10
D20170611,2017-06-11
D20170612,2017-06-12
D20170613,2017-06-13
D20170614,2017-06-14
D20170615,2017-06-15
D20170616,2017-06-16
D20170617,2017-06-17
D20170618,2017-06-18
D20170619,2017-06-19
D20170620,2017-06-20
D20170621,2017-06-21
D20170622,2017-06-22
D20170623,2017-06-23
D20170624,2017-06-24
D20170625,2017-06-25
D20170626,2017-06-26
D20170627,2017-06-27
D20170628,2017-06-28
D20170629,2017-06-29
D20170630,2017-06-30
D20170701,2017-07-01
D20170702,2017-07-02
D20170703,2017-07-03
D20170704,2017-07-04
D20170705,2017-07-05
D20170706,2017-07-06
D20170707,2017-07-07
D20170708,2017-07-08
D20170709,2017-07-09
D20170710,2017-07-10
D20170711,2017-07-11
D20170712,2017-07-12
D20170713,2017-07-13
D20170714,2017-07-14
D20170715,2017-07-15
D20170716,2017-07-16
D20170717,2017-07-17
D20170718,2017-07-18
D20170719,2017-07-19
D20170720,2017-07-20
D20170721,2017-07-21
D20170722,2017-07-22
D20170723,2017-07-23
D20170724,2017-07-24
D20170725,2017-07-25
D20170726,2017-07-26
D20170727,2017-07-27
D20170728,2017-07-28
D20170729,2017-07-29
D20170730,2017-07-30
D20170731,2017-07-31
D20170801,2017-08-01
D20170802,2017-08-02
D20170803,2017-08-03
D20170804,2017-08-04
D20170805,2017-08-05
D20170806,2017-08-06
D20170807,2017-08-07
D20170808,2017-08-08
D20170809,2017-08-09
D20170810,2017-08-10
D20170811,2017-08-11
D20170812,2017-08-12
D20170813,2017-08-13
D20170814,2017-08-14
D20170815,2017-08-15
D20170816,2017-08-16
D20170817,2017-08-17
D20170818,2017-08-18
D20170819,2017-08-19
D20170820,2017-08-20
D20170821,2017-08-21
D20170822,2017-08-22
D20170823,2017-08-23
D20170824,2017-08-24
D20170825,2017-08-25
D20170826,2017-08-26
D20170827,2017-08-27
D20170828,2017-08-28
D20170829,2017-08-29
D20170830,2017-08-30
D20170831,2017-08-31
D20170901,2017-09-01
D20170902,2017-09-02
D20170903,2017-09-03
D20170904,2017-09-04
D20170905,2017-09-05
D20170906,2017-09-06
D20170907,2017-09-07
D20170908,2017-09-08
D20170909,2017-09-09
D20170910,2017-09-10
D20170911,2017-09-11
D20170912,2017-09-12
D20170913,2017-09-13
D20170914,2017-09-14
D20170915,2017-09-15
D20170916,2017-09-16
D20170917,2017-09-17
D20170918,2017-09-18
D20170919,2017-09-19
D20170920,2017-09-20
D20170921,2017-09-21
D20170922,2017-09-22
D20170923,2017-09-23
D20170924,2017-09-24
D20170925,2017-09-25
D20170926,2017-09-26
D20170927,2017-09-27
D20170928,2017-09-28
D20170929,2017-09-29
D20170930,2017-09-30
D20171001,2017-10-01
D20171002,2017-10-02
D20171003,2017-10-03
D20171004,2017-10-04
D20171005,2017-10-05
D20171006,2017-10-06
D20171007,2017-10-07
D20171008,2017-10-08
D20171009,2017-10-09
D20171010,2017-10-10
D20171011,2017-10-11
D20171012,2017-10-12
D20171013,2017-10-13
D20171014,2017-10-14
D20171015,2017-10-15
D20171016,2017-10-16
D20171017,2017-10-17
D20171018,2017-10-18
D20171019,2017-10-19
D20171020,2017-10-20
D20171021,2017-10-21
D20171022,2017-10-22
D20171023,2017-10-23
D20171024,2017-10-24
D20171025,2017-10-25
D20171026,2017-10-26
D20171027,2017-10-27
D20171028,2017-10-28
D20171029,2017-10-29
D20171030,2017-10-30
D20171031,2017-10-31
D20171101,2017-11-01
D20171102,2017-11-02
D20171103,2017-11-03
D20171104,2017-11-04
D20171105,2017-11-05
D20171106,2017-11-06
D20171107,2017-11-07
D20171108,2017-11-08
D20171109,2017-11-09
D20171110,2017-11-10
D20171111,2017-11-11
D20171112,2017-11-12
D20171113,2017-11-13
D20171114,2017-11-14
D20171115,2017-11-15
D20171116,2017-11-16
D20171117,2017-11-17
D20171118,2017-11-18
D20171119,2017-11-19
D20171120,2017-11-20
D20171121,2017-11-21
D20171122,2017-11-22
D20171123,2017-11-23
D20171124,2017-11-24
D20171125,2017-11-25
D20171126,2017-11-26
D20171127,2017-11-27
D20171128,2017-11-28
D20171129,2017-11-29
D20171130,2017-11-30
D20171201,2017-12-01
D20171202,2017-12-02
D20171203,2017-12-03
D20171204,2017-12-04
D20171205,2017-12-05
D20171206,2017-12-06
D20171207,2017-12-07
D20171208,2017-12-08
D20171209,2017-12-09
D20171210,2017-12-10
D20171211,2017-12-11
D20171212,2017-12-12
D20171213,2017-12-13
D20171214,2017-12-14
D20171215,2017-12-15
D20171216,2017-12-16
D20171217,2017-12-17
D20171218,2017-12-18
D20171219,2017-12-19
D20171220,2017-12-20
D20171221,2017-12-21
D20171222,2017-12-22
D20171223,2017-12-23
D20171224,2017-12-24
D20171225,2017-12-25
D20171226,2017-12-26
D20171227,2017-12-27
D20171228,2017-12-28
D20171229,2017-12-29
D20171230,2017-12-30
D20171231,2017-12-31
D20180101,2018-01-01
D20180102,2018-01-02
D20180103,2018-01-03
D20180104,2018-01-04
D20180105,2018-01-05
D20180106,2018-01-06
D20180107,2018-01-07
D20180108,2018-01-08
D20180109,2018-01-09
D20180110,2018-01-10
D20180111,2018-01-11
D20180112,2018-01-12
D20180113,2018-01-13
D20180114,2018-01-14
D20180115,2018-01-15
D20180116,2018-01-16
D20180117,2018-01-17
D20180118,2018-01-18
D20180119,2018-01-19
D20180120,2018-01-20
D20180121,2018-01-21
D20180122,2018-01-22
D20180123,2018-01-23
D20180124,2018-01-24
D20180125,2018-01-25
D20180126,2018-01-26
D20180127,2018-01-27
D20180128,2018-01-28
D20180129,2018-01-29
D20180130,2018-01-30
D20180131,2018-01-31
D20180201,2018-02-01
D20180202,2018-02-02
D20180203,2018-02-03
D20180204,2018-02-04
D20180205,2018-02-05
D20180206,2018-02-06
D20180207,2018-02-07
D20180208,2018-02-08
D20180209,2018-02-09
D20180210,2018-02-10
D20180211,2018-02-11
D20180212,2018-02-12
D20180213,2018-02-13
D20180214,2018-02-14
D20180215,2018-02-15
D20180216,2018-02-16
D20180217,2018-02-17
D20180218,2018-02-18
D20180219,2018-02-19
D20180220,2018-02-20
D20180221,2018-02-21
D20180222,2018-02-22
D20180223,2018-02-23
D20180224,2018-02-24
D20180225,2018-02-25
D20180226,2018-02-26
D20180227,2018-02-27
D20180228,2018-02-28
D20180301,2018-03-01
D20180302,2018-03-02
D20180303,2018-03-03
D20180304,2018-03-04
D20180305,2018-03-05
D20180306,2018-03-06
D20180307,2018-03-07
D20180308,2018-03-08
D20180309,2018-03-09
D20180310,2018-03-10
D20180311,2018-03-11
D20180312,2018-03-12
D20180313,2018-03-13
D20180314,2018-03-14
D20180315,2018-03-15
D20180316,2018-03-16
D20180317,2018-03-17
D20180318,2018-03-18
D20180319,2018-03-19
D20180320,2018-03-20
D20180321,2018-03-21
D20180322,2018-03-22
D20180323,2018-03-23
D20180324,2018-03-24
D20180325,2018-03-25
D20180326,2018-03-26
D20180327,2018-03-27
D20180328,2018-03-28
D20180329,2018-03-29
D20180330,2018-03-30
D20180331,2018-03-31
D20180401,2018-04-01
D20180402,2018-04-02
D20180403,2018-04-03
D20180404,2018-04-04
D20180405,2018-04-05
D20180406,2018-04-06
D20180407,2018-04-07
D20180408,2018-04-08
D20180409,2018-04-09
D20180410,2018-04-10
D20180411,2018-04-11
D20180412,2018-04-12
D20180413,2018-04-13
D20180414,2018-04-14
D20180415,2018-04-15
D20180416,2018-04-16
D20180417,2018-04-17
D20180418,2018-04-18
D20180419,2018-04-19
D20180420,2018-04-20
D20180421,2018-04-21
D20180422,2018-04-22
D20180423,2018-04-23
D20180424,2018-04-24
D20180425,2018-04-25
D20180426,2018-04-26
D20180427,2018-04-27
D20180428,2018-04-28
D20180429,2018-04-29
D20180430,2018-04-30
D20180501,2018-05-01
D20180502,2018-05-02
D20180503,2018-05-03
D20180504,2018-05-04
D20180505,2018-05-05
D20180506,2018-05-06
D20180507,2018-05-07
D20180508,2018-05-08
D20180509,2018-05-09
D20180510,2018-05-10
D20180511,2018-05-11
D20180512,2018-05-12
D20180513,2018-05-13
D20180514,2018-05-14
D20180515,2018-05-15
D20180516,2018-05-16
D20180517,2018-05-17
D20180518,2018-05-18
D20180519,2018-05-19
D20180520,2018-05-20
D20180521,2018-05-21
D20180522,2018-05-22
D20180523,2018-05-23
D20180524,2018-05-24
D20180525,2018-05-25
D20180526,2018-05-26
D20180527,2018-05-27
D20180528,2018-05-28
D20180529,2018-05-29
D20180530,2018-05-30
D20180531,2018-05-31
D20180601,2018-06-01
D20180602,2018-06-02
D20180603,2018-06-03
D20180604,2018-06-04
D20180605,2018-06-05
D20180606,2018-06-06
D20180607,2018-06-07
D20180608,2018-06-08
D20180609,2018-06-09
