DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180906 104600420,1.1642,1.16424,0
20180917 061149880,1.16527,1.1653,0
20180905 060731153,1.15747,1.15751,0
20180920 050231637,1.16913,1.16916,0
20180926 210617240,1.17546,1.17549,0
20180928 095246467,1.1577600000000001,1.1577899999999999,0
20180928 021111523,1.16403,1.1640700000000002,0
20180928 070706753,1.15724,1.15727,0
20180914 044803017,1.1703700000000001,1.1704,0
20180913 035912247,1.16169,1.16173,0
20180906 103325920,1.16392,1.1639700000000002,0
20180924 111509433,1.1777799999999998,1.17782,0
20180918 105054433,1.17044,1.17048,0
20180924 041042987,1.17524,1.1752799999999999,0
20180906 055647207,1.16208,1.1621299999999999,0
20180926 074425337,1.17388,1.17391,0
20180905 091155393,1.16091,1.16098,0
20180905 075542890,1.15849,1.1585299999999998,0
20180916 212850443,1.1633,1.16335,0
20180918 090742710,1.17131,1.17135,0
20180904 104226580,1.15374,1.15378,0
20180903 180036200,1.16157,1.16171,0
20180924 105709950,1.1787,1.17874,0
20180916 173603473,1.16267,1.16304,0
20180918 065903973,1.1683700000000001,1.1684,0
20180905 050125413,1.15672,1.15675,0
20180906 052302480,1.16301,1.16305,0
20180928 020210773,1.16498,1.165,0
20180912 050240200,1.15862,1.15867,0
20180928 050339000,1.16082,1.16086,0
20180904 201503987,1.1581700000000001,1.15822,0
20180920 135710070,1.17659,1.1766299999999998,0
20180910 093837633,1.1601700000000001,1.16021,0
20180911 152829077,1.1588,1.1588200000000002,0
20180916 195219707,1.1626299999999998,1.16268,0
20180914 051321763,1.1701,1.17012,0
20180904 202451983,1.15869,1.15875,0
20180925 210021163,1.1758,1.1758600000000001,0
20180920 065311390,1.17141,1.17144,0
20180905 183000317,1.1632799999999999,1.16335,0
20180924 052852227,1.17678,1.1768100000000001,0
20180907 070252000,1.16276,1.16278,0
20180907 125331677,1.15581,1.15586,0
20180920 104528610,1.1758899999999999,1.17594,0
20180919 090919033,1.1671,1.16715,0
20180919 102427273,1.16648,1.16652,0
20180926 040814110,1.17688,1.17692,0
20180924 143158407,1.17588,1.17592,0
20180913 070403950,1.16315,1.1631799999999999,0
20180921 100527937,1.1746299999999998,1.17465,0
20180920 174827040,1.17746,1.17779,0
20180927 051648680,1.17157,1.1716,0
20180924 021627500,1.17334,1.17337,0
20180905 231512763,1.16428,1.16431,0
20180927 084206657,1.16857,1.16859,0
20180914 112255217,1.1661700000000002,1.1662,0
20180916 223928683,1.16315,1.1631799999999999,0
20180905 095829387,1.16244,1.16248,0
20180921 074053450,1.17685,1.1769,0
20180913 083736950,1.16526,1.1653200000000001,0
20180913 103419917,1.1684,1.16844,0
20180905 001337703,1.15963,1.15967,0
20180904 050851110,1.1562,1.15626,0
20180907 094537223,1.15785,1.15788,0
20180904 223529217,1.16054,1.16058,0
20180904 060812853,1.15603,1.15606,0
20180910 045223447,1.157,1.15704,0
20180925 204916417,1.17624,1.1762700000000001,0
