DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180919 220502190,1.1683,1.16834,0
20180924 094840460,1.18062,1.18064,0
20180919 063458050,1.16993,1.1699899999999999,0
20180926 123331550,1.17456,1.1746,0
20180926 001027390,1.17651,1.17655,0
20180911 102558627,1.15972,1.1597600000000001,0
20180925 030700307,1.17574,1.17577,0
20180914 053408010,1.17029,1.1703299999999999,0
20180911 035653197,1.163,1.1630200000000002,0
20180917 060828380,1.16511,1.16514,0
20180909 194529520,1.15563,1.1556799999999998,0
20180913 130937147,1.16785,1.1678899999999999,0
20180924 071556713,1.1767,1.1767299999999998,0
20180904 123802063,1.1572,1.15724,0
20180918 073210957,1.16805,1.16809,0
20180919 225409933,1.1683299999999999,1.16836,0
20180904 102329567,1.1542,1.15422,0
20180917 054417383,1.1651799999999999,1.1652200000000001,0
20180920 044002890,1.16963,1.1696799999999998,0
20180904 003447397,1.16052,1.16055,0
20180918 094521457,1.17062,1.17065,0
20180902 214545370,1.15975,1.15978,0
20180925 120050483,1.1770200000000002,1.17706,0
20180914 021146537,1.16916,1.16919,0
20180904 074529590,1.1559700000000002,1.15602,0
20180904 031844890,1.1582700000000001,1.1583299999999999,0
20180905 181043553,1.16325,1.16331,0
20180927 050127433,1.1709100000000001,1.17093,0
20180919 113518517,1.16815,1.16819,0
20180924 012847507,1.17419,1.1742299999999999,0
20180925 171218443,1.1767299999999998,1.1772200000000002,0
20180904 124101313,1.15743,1.15749,0
20180921 032129727,1.17845,1.17851,0
20180907 102754450,1.15731,1.15735,0
20180927 122926127,1.16811,1.16814,0
20180926 141721803,1.17713,1.17717,0
20180921 045646467,1.17925,1.17929,0
20180914 092229233,1.16612,1.16619,0
20180905 115117623,1.16198,1.16204,0
20180924 075639207,1.1769,1.17693,0
20180911 120014363,1.15893,1.15897,0
20180919 053002057,1.16975,1.1698,0
20180926 150049783,1.17644,1.17649,0
20180919 080614040,1.16729,1.16733,0
20180928 082549977,1.15785,1.1578899999999999,0
20180927 003739467,1.17489,1.1749100000000001,0
20180913 041330480,1.1617,1.16174,0
20180917 230322260,1.1687100000000001,1.16875,0
20180925 014435567,1.1744299999999999,1.1744700000000001,0
20180911 093417637,1.15741,1.15745,0
20180914 141120197,1.1627100000000001,1.1627399999999999,0
20180920 090438857,1.17631,1.17634,0
20180913 173751360,1.1687,1.1690200000000002,0
20180905 090542647,1.15955,1.15962,0
20180927 152209357,1.1650200000000002,1.16505,0
20180926 071139840,1.17465,1.17469,0
20180917 101401350,1.16933,1.16937,0
20180911 063929417,1.15788,1.1579,0
20180905 040443920,1.15562,1.1556799999999998,0
20180927 034442693,1.17057,1.17058,0
20180918 025651737,1.1698,1.16985,0
20180918 233900347,1.1673200000000001,1.16739,0
20180921 031954977,1.17895,1.17899,0
20180917 055559383,1.16487,1.1649100000000001,0
20180928 061215743,1.15839,1.1584299999999998,0
20180905 092925877,1.16226,1.16229,0
20180904 102908817,1.15419,1.1542299999999999,0
20180927 050110433,1.17086,1.17089,0
20180905 043041417,1.15641,1.15647,0
20180928 051036250,1.16064,1.16066,0
