DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180927 125217373,1.16812,1.16814,0
20180913 192355093,1.16957,1.16961,0
20180912 052143947,1.159,1.15905,0
20180925 075535267,1.17813,1.1781700000000002,0
20180918 070246707,1.1683700000000001,1.1684,0
20180924 065736967,1.1765299999999999,1.1765700000000001,0
20180926 101614817,1.17335,1.1733799999999999,0
20180912 090159913,1.15904,1.15905,0
20180903 212130690,1.15996,1.1599899999999999,0
20180904 110620813,1.15533,1.15536,0
20180924 053028477,1.17678,1.17682,0
20180910 020916710,1.1547,1.15475,0
20180914 044302017,1.17087,1.1709,0
20180925 223042653,1.17632,1.17636,0
20180919 111751783,1.16746,1.1675,0
20180902 184914147,1.15985,1.15992,0
20180904 050059860,1.15646,1.15652,0
20180906 160430393,1.16249,1.16255,0
20180930 231221400,1.15952,1.15954,0
20180910 073627153,1.15733,1.15737,0
20180918 075729703,1.17058,1.17061,0
20180918 125144173,1.1659899999999999,1.16606,0
20180927 030921947,1.17002,1.17006,0
20180912 072446660,1.15809,1.15812,0
20180906 055714457,1.1621700000000001,1.1622,0
20180902 213611873,1.1592799999999999,1.1593200000000001,0
20180911 014648467,1.16088,1.16091,0
20180928 032941263,1.16215,1.16219,0
20180907 105154210,1.15852,1.15858,0
20180904 021246633,1.15953,1.1595600000000001,0
20180920 111526857,1.17521,1.17525,0
20180907 061631240,1.16325,1.1633,0
20180914 105558470,1.16667,1.16669,0
20180921 091512190,1.17461,1.17465,0
20180919 111726517,1.1675200000000001,1.16756,0
20180904 094309573,1.1553,1.15534,0
20180904 105418563,1.15545,1.15549,0
20180925 230913397,1.17638,1.1764,0
20180920 145009313,1.1772200000000002,1.1772799999999999,0
20180924 060325723,1.17729,1.17731,0
20180911 031835203,1.16421,1.16425,0
20180913 033430987,1.16195,1.16198,0
20180906 111117167,1.16117,1.16121,0
20180921 123200420,1.17436,1.1744,0
20180907 061236757,1.1633,1.16334,0
20180909 230925507,1.15516,1.1552,0
20180921 073127717,1.17679,1.17682,0
20180914 011121043,1.16937,1.1694,0
20180924 072424213,1.17676,1.17679,0
20180919 174013727,1.16714,1.1676,0
20180913 102553680,1.16883,1.16888,0
20180906 042149970,1.16362,1.1636600000000001,0
20180906 094544943,1.1642,1.16424,0
20180924 044255983,1.1759700000000002,1.1759899999999999,0
20180914 084415737,1.16792,1.16795,0
20180905 055804407,1.15752,1.1575600000000001,0
20180918 090637197,1.17145,1.1714799999999999,0
20180919 101258290,1.16585,1.16588,0
20180919 174911473,1.1671200000000002,1.16744,0
20180918 131817920,1.16631,1.16635,0
20180917 153036563,1.16856,1.1686,0
20180927 033242443,1.17058,1.17062,0
20180913 091334430,1.1677600000000001,1.1677899999999999,0
20180924 114717427,1.17666,1.17669,0
20180927 044201687,1.1714799999999999,1.1715200000000001,0
20180907 081507723,1.16121,1.16127,0
20180919 021543330,1.16814,1.16818,0
20180916 225258683,1.16323,1.16326,0
20180918 054852717,1.1680700000000002,1.1681,0
20180927 000534720,1.17507,1.17511,0
20180919 205611950,1.16798,1.16802,0
20180904 033256373,1.1579899999999999,1.15802,0
20180928 105515710,1.16057,1.1606,0
20180905 025128930,1.1566100000000001,1.15666,0
20180912 040321460,1.15985,1.15988,0
20180925 105031243,1.17793,1.1779600000000001,0
20180928 011536780,1.16428,1.16432,0
20180926 142511287,1.17613,1.17619,0
20180928 125756443,1.16108,1.16111,0
20180914 093659730,1.16677,1.1668100000000001,0
20180906 095900177,1.1639,1.16395,0
20180913 172124113,1.16874,1.1692200000000001,0
20180925 124204477,1.1772799999999999,1.1773200000000001,0
20180907 020823280,1.16264,1.1627,0
20180905 192455293,1.16324,1.16327,0
20180912 042909190,1.16016,1.1602,0
20180919 110913537,1.1677,1.16775,0
20180906 151059637,1.16239,1.1624299999999999,0
20180920 065203123,1.1714200000000001,1.17147,0
20180906 130926417,1.1619899999999999,1.16203,0
20180925 210317663,1.17603,1.1760700000000002,0
20180912 145204350,1.16343,1.16347,0
20180926 133019793,1.17572,1.17574,0
20180930 234652147,1.15961,1.15965,0
20180914 101413990,1.16621,1.1662299999999999,0
20180913 174609357,1.16879,1.16896,0
20180913 102612167,1.169,1.16903,0
20180921 074452963,1.17662,1.17669,0
20180924 221707097,1.17353,1.17357,0
20180918 215716110,1.16562,1.1656600000000001,0
20180926 201533247,1.17534,1.17537,0
20180921 100348950,1.17436,1.17441,0
20180907 020256783,1.1619,1.16195,0
20180919 092707280,1.1676799999999998,1.16769,0
20180910 135706590,1.1597600000000001,1.1597899999999999,0
20180925 082233763,1.17793,1.1779600000000001,0
20180914 093923730,1.16675,1.1668,0
20180912 141700357,1.16324,1.1632799999999999,0
20180907 134032420,1.15567,1.15572,0
20180903 162136217,1.16154,1.1617600000000001,0
20180911 141047090,1.15855,1.15859,0
20180906 071502963,1.16278,1.1628100000000001,0
20180928 065217237,1.15868,1.1587,0
20180919 210533197,1.16805,1.16808,0
20180905 054200907,1.1578700000000002,1.15791,0
20180912 203511800,1.16309,1.1631,0
20180918 104649433,1.17006,1.1701,0
20180910 093555133,1.1601,1.16015,0
20180913 093459677,1.169,1.1690399999999999,0
20180914 001542800,1.16911,1.16914,0
20180917 105236097,1.16886,1.1689,0
20180928 024238017,1.16266,1.1627,0
20180910 123052357,1.16025,1.16028,0
20180906 114341913,1.16159,1.16165,0
20180925 205417667,1.17613,1.17616,0
20180911 021302713,1.16121,1.16125,0
20180905 130137347,1.16229,1.16235,0
20180914 004204047,1.1691200000000002,1.16916,0
20180930 220632410,1.16008,1.16012,0
20180918 131820420,1.16631,1.16635,0
20180926 110931310,1.17446,1.17449,0
20180905 053911173,1.15765,1.1576899999999999,0
20180904 040246120,1.15644,1.15649,0
20180928 012454527,1.16445,1.1644700000000001,0
20180913 004438013,1.16334,1.1633799999999999,0
20180906 003106003,1.16347,1.16353,0
20180928 163647417,1.1604,1.16045,0
20180921 100715687,1.17461,1.1746299999999998,0
20180914 093105733,1.16669,1.1667299999999998,0
20180924 164541387,1.17482,1.17487,0
20180905 043200917,1.15648,1.15652,0
20180918 075233953,1.1706299999999998,1.17066,0
20180912 021221210,1.15925,1.15929,0
20180926 145314033,1.17428,1.17432,0
20180924 123146170,1.17723,1.1772799999999999,0
20180928 064442490,1.15888,1.15891,0
20180907 075801727,1.16086,1.1609,0
20180918 161213650,1.16678,1.1668100000000001,0
20180912 112725380,1.16414,1.16418,0
20180926 123613800,1.17468,1.17472,0
20180917 085031860,1.1675799999999998,1.16762,0
20180917 091014360,1.1683700000000001,1.1684,0
20180920 164529800,1.17779,1.17785,0
20180919 094435527,1.16708,1.1671200000000002,0
20180909 191647027,1.15577,1.15583,0
20180919 120221027,1.16869,1.16872,0
20180917 083813113,1.1679899999999999,1.16803,0
20180926 062230847,1.17608,1.17611,0
20180924 002020017,1.17408,1.17411,0
20180910 084330143,1.15795,1.15798,0
20180928 043634003,1.16234,1.16236,0
20180904 022305133,1.1596,1.15964,0
20180907 162103897,1.15592,1.15596,0
20180911 024633457,1.16222,1.16226,0
20180925 025706307,1.17612,1.17615,0
20180918 120419927,1.16901,1.16905,0
20180903 094044773,1.1610200000000002,1.16106,0
20180907 134214920,1.15588,1.15594,0
20180918 034755230,1.16794,1.1679700000000002,0
20180927 023040950,1.1692799999999999,1.16933,0
20180927 092327150,1.16811,1.16815,0
20180906 083652937,1.16483,1.16487,0
20180910 093642900,1.15996,1.1599899999999999,0
20180924 231342087,1.17365,1.17369,0
20180926 034258113,1.17632,1.17638,0
20180917 190156540,1.1672200000000001,1.16726,0
20180904 125307047,1.15785,1.1578899999999999,0
20180903 083723530,1.16113,1.16115,0
20180918 173055140,1.1667,1.16711,0
20180924 103840953,1.17806,1.17808,0
20180919 043258813,1.1709,1.17095,0
20180920 214925513,1.1779,1.17794,0
20180918 101552937,1.16995,1.1699899999999999,0
20180907 082015970,1.16146,1.1614799999999998,0
20180926 030748617,1.17672,1.17675,0
20180921 081112197,1.1762700000000001,1.1763299999999999,0
20180924 035946987,1.17408,1.17414,0
20180928 102356727,1.1587100000000001,1.15875,0
20180927 063702670,1.17137,1.1714,0
20180905 100400387,1.16153,1.1615799999999998,0
20180917 001125423,1.1632799999999999,1.16333,0
20180910 054214940,1.15792,1.15796,0
20180918 094321207,1.17124,1.17127,0
20180911 043545190,1.16242,1.1624700000000001,0
20180903 140151987,1.16181,1.16188,0
20180927 021951203,1.17086,1.1709,0
20180926 033208380,1.17705,1.17709,0
20180904 085322097,1.15659,1.15662,0
20180917 095826603,1.1693200000000001,1.16935,0
20180927 025925947,1.17034,1.17038,0
20180917 021410907,1.16309,1.16314,0
20180924 172713383,1.17479,1.1749399999999999,0
20180918 233141350,1.16735,1.16736,0
20180928 065404737,1.1586299999999998,1.15865,0
20180904 205118480,1.1583,1.15834,0
20180918 045000473,1.1683700000000001,1.16841,0
20180927 151517607,1.1645,1.16456,0
20180918 010719247,1.169,1.1690399999999999,0
20180910 060234670,1.1574,1.15744,0
20180912 021502960,1.15931,1.15935,0
20180917 185022040,1.16763,1.16772,0
20180904 133835040,1.15775,1.1578,0
20180920 211831517,1.17804,1.17808,0
20180917 130123083,1.1697600000000001,1.1698,0
20180924 125414670,1.17667,1.1767,0
20180904 112700310,1.15527,1.15531,0
20180905 155216323,1.16293,1.16297,0
20180913 092945190,1.1688,1.16886,0
20180924 024019497,1.17292,1.17295,0
20180925 025708057,1.1761700000000002,1.1762,0
20180914 010629043,1.16944,1.16947,0
20180925 092555253,1.17834,1.17839,0
20180902 203902880,1.1598899999999999,1.15991,0
20180912 071938177,1.15753,1.1575600000000001,0
20180907 094326457,1.1583700000000001,1.15841,0
20180920 043554640,1.16985,1.1699,0
20180921 043457470,1.17861,1.17864,0
20180914 093406480,1.16688,1.16693,0
20180928 141546683,1.16105,1.16109,0
20180905 011107460,1.1589200000000002,1.15899,0
20180903 092943523,1.1612,1.16124,0
20180927 043402187,1.17129,1.17134,0
20180925 113402737,1.17719,1.1772,0
20180905 020307187,1.1589200000000002,1.15897,0
20180921 072100203,1.17674,1.17678,0
20180917 025015170,1.16291,1.16297,0
20180926 020120627,1.1762,1.17624,0
20180904 085805080,1.15642,1.15646,0
20180912 094850907,1.1594799999999998,1.15952,0
20180905 024508183,1.15743,1.15747,0
20180928 070308737,1.1578600000000001,1.1578899999999999,0
20180903 115258253,1.16177,1.16181,0
20180926 100434833,1.17318,1.17321,0
20180903 211448427,1.16,1.16004,0
20180917 064307640,1.16572,1.1657600000000001,0
20180903 041222067,1.16178,1.16182,0
20180912 090245147,1.15911,1.15917,0
20180905 081153403,1.15826,1.15829,0
20180924 061416970,1.17692,1.17695,0
20180905 103857367,1.16137,1.16141,0
20180927 012246710,1.1715200000000001,1.17155,0
20180911 073205657,1.15859,1.15864,0
20180921 114000927,1.17398,1.17404,0
20180919 102303273,1.16626,1.16631,0
20180919 041803317,1.17116,1.1712,0
20180911 013109220,1.1598,1.15983,0
20180919 110130287,1.1672200000000001,1.16726,0
20180910 092833137,1.1605,1.16054,0
20180907 025729273,1.1642700000000001,1.1643,0
20180924 085435950,1.17535,1.1754,0
20180921 031332243,1.18015,1.1802,0
20180921 031221493,1.1798,1.17985,0
20180926 073439837,1.17441,1.17444,0
20180921 084126693,1.17556,1.17559,0
20180913 171919363,1.16883,1.1689,0
20180918 102916937,1.16959,1.16962,0
20180911 125102603,1.1593,1.15933,0
20180903 002530600,1.1602299999999999,1.1602700000000001,0
20180918 221813607,1.16598,1.16602,0
20180912 093645643,1.15887,1.1589200000000002,0
20180927 041332440,1.17113,1.17117,0
