DateTime,EuroBuyAtUSD,EuroSellAtUSD,VolumeTrade
20180927 063825670,1.1713799999999999,1.1714,0
20180923 202012047,1.1752,1.17523,0
20180927 165014343,1.16409,1.1641299999999999,0
20180917 085822127,1.16852,1.16857,0
20180910 094144133,1.16024,1.16028,0
20180917 072800370,1.16606,1.1661,0
20180905 195850290,1.16346,1.1635,0
20180918 125800437,1.1663299999999999,1.1664,0
20180914 033037777,1.17082,1.17087,0
20180906 220653320,1.1618600000000001,1.1619,0
20180911 042600190,1.16259,1.1626299999999998,0
20180928 114414453,1.1622,1.16224,0
20180914 122730210,1.16336,1.1634200000000001,0
20180926 124951547,1.17455,1.17459,0
20180926 145628033,1.17541,1.1754799999999999,0
20180921 063316207,1.1763299999999999,1.1763700000000001,0
20180927 084112407,1.16854,1.16858,0
20180903 051434810,1.16086,1.1609,0
20180921 042152720,1.17777,1.17781,0
20180914 125650207,1.1638700000000002,1.16392,0
20180919 123814510,1.16835,1.1684,0
20180924 114006677,1.17632,1.17634,0
20180910 095555630,1.16048,1.16051,0
20180921 090927940,1.17449,1.17454,0
20180928 071327487,1.1575799999999998,1.15763,0
20180920 174532290,1.1774799999999999,1.17792,0
20180926 140657040,1.17868,1.17874,0
20180926 094156320,1.173,1.17303,0
20180927 163635097,1.16418,1.1642299999999999,0
20180905 044413667,1.15695,1.15699,0
20180927 014250957,1.17045,1.17046,0
20180927 115433130,1.16717,1.16719,0
20180907 083201483,1.15867,1.1587,0
20180913 130030897,1.16761,1.16767,0
20180911 043617940,1.16224,1.16229,0
20180917 090130127,1.16835,1.16838,0
20180925 035650547,1.1765700000000001,1.17662,0
20180907 055620243,1.16353,1.16354,0
20180927 090926403,1.16759,1.16762,0
20180905 090744630,1.16095,1.1610200000000002,0
20180920 130959077,1.17619,1.1762299999999999,0
20180911 215036757,1.1589200000000002,1.15896,0
20180919 205339450,1.16782,1.16788,0
20180926 213942987,1.17418,1.1742299999999999,0
20180917 134721827,1.1686299999999998,1.16867,0
20180907 042143010,1.16458,1.16462,0
20180910 110104637,1.1603299999999999,1.16035,0
20180918 050658970,1.16876,1.16879,0
20180920 114900587,1.17464,1.17468,0
20180918 202155620,1.16734,1.1673799999999999,0
20180911 190059287,1.16015,1.1602,0
20180918 101011703,1.16929,1.1693200000000001,0
20180907 092801210,1.15731,1.15733,0
20180904 150523293,1.1577600000000001,1.1578,0
20180920 203051770,1.17814,1.1781700000000002,0
20180926 105214063,1.17439,1.17442,0
20180904 023418880,1.15831,1.15835,0
20180905 051937410,1.15868,1.15873,0
20180928 070817253,1.1571,1.15711,0
20180928 122705447,1.16206,1.1621,0
20180914 064436753,1.17001,1.17005,0
20180926 033243117,1.17689,1.1769399999999999,0
20180930 185724433,1.16045,1.16051,0
20180903 213220173,1.1601,1.16014,0
20180925 044525793,1.17555,1.1756,0
20180918 102719937,1.1697899999999999,1.16982,0
20180921 024954980,1.17872,1.17876,0
20180914 053804760,1.1701,1.17014,0
20180917 014938910,1.16327,1.1633,0
20180911 172410303,1.16006,1.16028,0
20180920 013145663,1.16793,1.16798,0
20180906 205053833,1.16198,1.16202,0
20180911 081113417,1.15701,1.15703,0
20180911 060227940,1.15964,1.15967,0
20180911 082130650,1.1577600000000001,1.15781,0
20180905 084450133,1.15872,1.15875,0
20180919 224806687,1.16828,1.16832,0
20180921 084424443,1.1757,1.17573,0
20180907 083209470,1.1583700000000001,1.15844,0
20180918 045844473,1.1689200000000002,1.16896,0
20180907 024523027,1.16364,1.16369,0
20180919 103339773,1.16636,1.1664,0
20180924 105722683,1.17874,1.17876,0
20180921 035325723,1.17765,1.1776799999999998,0
20180926 081923597,1.1732,1.17321,0
20180914 131636203,1.16316,1.16321,0
20180925 084031760,1.1774799999999999,1.17751,0
20180918 001401267,1.16944,1.16947,0
20180903 053017823,1.1603,1.16032,0
20180924 015519753,1.1734799999999999,1.17351,0
20180919 114648280,1.16852,1.16857,0
20180928 130946443,1.16104,1.16108,0
20180914 113843467,1.16615,1.16619,0
20180913 071026200,1.16269,1.1627299999999998,0
20180930 173856693,1.16076,1.16093,0
20180913 102802680,1.1689399999999999,1.16899,0
20180920 084017110,1.1768,1.1768299999999998,0
20180917 225254777,1.16775,1.16777,0
20180907 042632260,1.16452,1.16457,0
20180913 101725683,1.16895,1.169,0
20180927 115616630,1.1671799999999999,1.16721,0
20180927 044122687,1.17153,1.17156,0
20180904 011206393,1.16046,1.1605,0
20180918 154420903,1.16646,1.1665,0
20180903 014640337,1.16105,1.16108,0
20180904 090043830,1.15621,1.15625,0
20180918 040332477,1.1682700000000001,1.16829,0
20180930 180006440,1.16099,1.1611799999999999,0
20180912 091633897,1.15975,1.15978,0
20180912 100655140,1.16173,1.16177,0
20180927 115950147,1.1671200000000002,1.16713,0
20180928 093547470,1.15778,1.15781,0
20180905 032207677,1.15514,1.15519,0
20180927 160535100,1.16508,1.1651200000000002,0
20180919 055801553,1.17,1.17003,0
20180920 155658807,1.1778899999999999,1.17792,0
20180905 032825927,1.15469,1.15473,0
20180912 173512330,1.16252,1.1630200000000002,0
20180909 205451260,1.1563,1.1563700000000001,0
20180927 081108910,1.1712,1.17125,0
20180904 095934820,1.15459,1.15462,0
20180921 060758710,1.17781,1.17784,0
20180903 040049820,1.16085,1.16089,0
20180912 103450387,1.16195,1.1619899999999999,0
20180913 155245123,1.16898,1.16903,0
20180909 233700987,1.1550200000000002,1.15506,0
20180925 050457540,1.1760899999999999,1.1761,0
20180911 194127030,1.16,1.16005,0
20180912 091039897,1.15939,1.15943,0
20180927 025601197,1.1705,1.17055,0
20180904 104842330,1.15477,1.15483,0
20180914 151037187,1.16296,1.163,0
20180907 083310233,1.1587100000000001,1.15877,0
20180918 080432453,1.17039,1.1704299999999999,0
20180905 082905883,1.15763,1.1576799999999998,0
20180926 064713343,1.1755200000000001,1.17556,0
20180930 213346913,1.1596600000000001,1.1596899999999999,0
20180920 072257620,1.17241,1.17245,0
20180903 025750327,1.1602299999999999,1.16028,0
20180912 204010550,1.16308,1.16311,0
20180924 113742930,1.17708,1.17715,0
20180927 115530897,1.1670200000000002,1.16706,0
20180907 105743947,1.1590200000000002,1.15905,0
20180930 202321673,1.1609399999999999,1.16097,0
20180906 060743457,1.16236,1.1624,0
20180907 005916293,1.1628399999999999,1.16288,0
20180910 023403707,1.15526,1.15529,0
20180910 085549140,1.1594200000000001,1.15944,0
20180926 210950990,1.17541,1.17544,0
20180902 222017117,1.15983,1.1598600000000001,0
20180928 050451000,1.16072,1.16076,0
20180918 210402117,1.16686,1.1669,0
20180905 103404617,1.16191,1.16195,0
20180928 125759193,1.16108,1.1611,0
20180926 145219533,1.1739,1.1739700000000002,0
20180927 125109373,1.16821,1.16824,0
20180912 083503903,1.15889,1.1589399999999999,0
20180928 023003520,1.16309,1.16313,0
20180917 042636643,1.16513,1.16517,0
20180907 020758030,1.16282,1.16287,0
20180907 055746993,1.16354,1.1635799999999998,0
20180904 103217817,1.15415,1.1542,0
20180920 001331173,1.16785,1.1679,0
20180919 200709957,1.16743,1.16747,0
20180905 154216327,1.16282,1.16286,0
20180912 044128437,1.15819,1.15822,0
20180924 013321007,1.17415,1.17418,0
20180912 151138100,1.16269,1.1627299999999998,0
20180914 080244743,1.16886,1.1689,0
20180905 203003537,1.16464,1.16467,0
20180920 080335867,1.17665,1.1767,0
20180913 092231443,1.16914,1.1691799999999999,0
20180919 091010297,1.16729,1.1673,0
20180925 115639733,1.17692,1.17696,0
20180912 083214653,1.1590200000000002,1.15906,0
20180914 090314987,1.16669,1.1667399999999999,0
20180921 021405983,1.1778899999999999,1.17792,0
20180911 045642687,1.16154,1.16157,0
20180925 103031510,1.1788299999999998,1.17887,0
20180905 215656273,1.1642299999999999,1.16426,0
20180912 070116917,1.15803,1.15808,0
20180912 090619163,1.1594,1.15944,0
20180907 124759177,1.15596,1.15601,0
20180905 114726857,1.16141,1.16146,0
20180928 090704973,1.15876,1.1588,0
20180919 081659803,1.1667399999999999,1.16678,0
20180906 024120487,1.1624299999999999,1.16246,0
20180907 060304243,1.1635,1.16352,0
20180905 090006380,1.15851,1.15855,0
20180926 142917037,1.17543,1.1754799999999999,0
20180903 235550403,1.16015,1.1601700000000001,0
20180905 012825193,1.15927,1.15931,0
20180927 031215197,1.16971,1.16972,0
20180907 143423410,1.15639,1.15644,0
20180930 232012900,1.15947,1.15952,0
20180921 110137180,1.1757,1.17574,0
20180924 035905237,1.17383,1.17387,0
20180919 215747193,1.1683,1.16834,0
20180910 144740083,1.15963,1.15967,0
20180906 135735143,1.1617899999999999,1.16183,0
20180912 060615423,1.15935,1.1593799999999999,0
20180912 040202943,1.1595799999999998,1.15962,0
20180919 104945270,1.1670200000000002,1.16706,0
20180910 111251617,1.16056,1.1606100000000001,0
20180910 050305930,1.1573799999999999,1.15743,0
20180920 081337863,1.1768,1.1768399999999999,0
20180913 072622947,1.16282,1.16287,0
20180918 101945937,1.1699,1.16993,0
20180919 113537530,1.1683299999999999,1.16841,0
20180927 035359940,1.1698600000000001,1.1698899999999999,0
20180928 165559663,1.16035,1.16044,0
20180912 011126723,1.15887,1.1589,0
20180906 012316247,1.16337,1.1633799999999999,0
20180917 113305343,1.16846,1.16849,0
20180913 090144930,1.16848,1.16854,0
20180921 104211183,1.17539,1.1754200000000001,0
20180912 214124540,1.1637899999999999,1.16383,0
20180903 205159927,1.16046,1.1605,0
20180927 032736693,1.17016,1.1702,0
20180927 051720447,1.17144,1.17147,0
20180921 075657447,1.17572,1.1757600000000001,0
20180924 120017943,1.17737,1.1774,0
20180921 030411977,1.17973,1.1797799999999998,0
20180905 094248640,1.16242,1.16246,0
20180917 052603650,1.16496,1.16499,0
20180913 020552500,1.16193,1.1619700000000002,0
20180925 010912570,1.17403,1.1740700000000002,0
20180911 081633400,1.15832,1.15838,0
20180919 034324070,1.17014,1.1701700000000002,0
20180904 082128333,1.1557,1.15575,0
20180923 222357780,1.17406,1.1740700000000002,0
20180921 130646167,1.17425,1.17429,0
20180906 034348993,1.1627299999999998,1.16278,0
20180917 101659100,1.169,1.1690399999999999,0
20180905 013317190,1.15887,1.15889,0
20180918 020854740,1.1707100000000001,1.17077,0
20180913 043715477,1.1624,1.1624299999999999,0
20180919 080216790,1.16773,1.16777,0
