iter	Accuracy	Logloss
0	0.8298555377	0.6301955762
1	0.8298555377	0.5903039316
2	0.8282504013	0.5569924076
3	0.8298555377	0.5321924939
4	0.8282504013	0.5083163212
5	0.8250401284	0.4932741981
6	0.8266452648	0.4761343595
7	0.823434992	0.466176797
8	0.8298555377	0.4548991923
9	0.8282504013	0.4517527322
10	0.8250401284	0.4489840499
11	0.8282504013	0.4465916871
12	0.8282504013	0.4445559548
13	0.823434992	0.4405769855
14	0.823434992	0.4358675347
15	0.8282504013	0.4323857505
16	0.8282504013	0.4315616178
17	0.8298555377	0.4297416189
18	0.8282504013	0.4294505274
19	0.8266452648	0.4280636548
20	0.8250401284	0.4259861715
21	0.8282504013	0.4243146905
22	0.8266452648	0.4236966537
23	0.8282504013	0.4203170302
24	0.823434992	0.419640624
25	0.8202247191	0.4194182634
26	0.8282504013	0.4181359559
27	0.8266452648	0.4175606254
28	0.823434992	0.4174703853
29	0.8218298555	0.4162304014
30	0.8186195827	0.4160339185
31	0.8202247191	0.4148833313
32	0.8282504013	0.4135890473
33	0.8266452648	0.4115560374
34	0.8266452648	0.411552191
35	0.8266452648	0.4109079995
36	0.8266452648	0.4109055265
37	0.8298555377	0.4108362002
38	0.8282504013	0.4090311379
39	0.8266452648	0.4090300206
40	0.8314606742	0.408406623
41	0.8330658106	0.4065411523
42	0.8330658106	0.40597099
43	0.8330658106	0.4059706637
44	0.8394863563	0.4002785014
45	0.8394863563	0.3999265744
46	0.8410914928	0.3991629879
47	0.8410914928	0.3991621599
48	0.8410914928	0.3984949232
49	0.8410914928	0.3978867285
50	0.834670947	0.3978304861
51	0.834670947	0.397783652
52	0.834670947	0.3977834488
53	0.8362760835	0.397395514
54	0.8426966292	0.3924216776
55	0.8426966292	0.3924208253
56	0.8426966292	0.392419042
57	0.8426966292	0.3924184813
58	0.8426966292	0.39241706
59	0.8426966292	0.3921158963
60	0.8459069021	0.3888327474
61	0.8459069021	0.3887906601
62	0.8426966292	0.387969418
63	0.8426966292	0.3870963951
64	0.8459069021	0.3854590251
65	0.8475120385	0.382579329
66	0.8475120385	0.3825790768
67	0.8475120385	0.3825788785
68	0.8475120385	0.3818968874
69	0.8459069021	0.3808675547
70	0.849117175	0.380003065
71	0.849117175	0.3796461867
72	0.849117175	0.3795926458
73	0.8555377207	0.3783443355
74	0.8539325843	0.3766621585
75	0.8539325843	0.3752432305
76	0.8523274478	0.373294043
77	0.8539325843	0.3726066114
78	0.8539325843	0.371705958
79	0.8571428571	0.3694479484
80	0.86035313	0.3684418814
81	0.8619582665	0.3669063216
82	0.8619582665	0.3667630018
83	0.86035313	0.3662391407
84	0.8619582665	0.3655714953
85	0.86035313	0.3646603551
86	0.8635634029	0.3617865289
87	0.8635634029	0.3617100119
88	0.8651685393	0.3589987381
89	0.8667736758	0.3577847345
90	0.8667736758	0.3572992783
91	0.8699839486	0.3560252329
92	0.8699839486	0.3549837292
93	0.8715890851	0.3524624815
94	0.8715890851	0.3516560789
95	0.8731942215	0.3506855463
96	0.8747993579	0.3495701173
97	0.8764044944	0.3474842738
98	0.8764044944	0.3444862775
99	0.8780096308	0.3432964593
100	0.8764044944	0.3409430077
101	0.8796147673	0.3405205636
102	0.8796147673	0.3401051101
103	0.8796147673	0.3399719863
104	0.8796147673	0.3394685353
105	0.8796147673	0.3381928422
106	0.8828250401	0.3344982661
107	0.8812199037	0.3338475712
108	0.8828250401	0.3334943776
109	0.8828250401	0.3333812255
110	0.8828250401	0.3325259089
111	0.8812199037	0.3311244353
112	0.8812199037	0.3311215729
113	0.8828250401	0.3302989223
114	0.8844301766	0.3300883133
115	0.8844301766	0.3299717857
116	0.8844301766	0.3294386161
117	0.8844301766	0.3285173891
118	0.8844301766	0.3278337342
119	0.8844301766	0.327197016
120	0.886035313	0.3267967888
121	0.886035313	0.3262310442
122	0.886035313	0.3257998122
123	0.886035313	0.32548732
124	0.886035313	0.3233745085
125	0.886035313	0.3222172688
126	0.8876404494	0.3213087923
127	0.8876404494	0.3209435268
128	0.8876404494	0.3200863018
129	0.8892455859	0.3197951969
130	0.8892455859	0.3189577553
131	0.8892455859	0.3186699053
132	0.8908507223	0.3179256664
133	0.8908507223	0.3174132041
134	0.8908507223	0.3170609373
135	0.8908507223	0.3169747999
136	0.8908507223	0.3165558418
137	0.8908507223	0.3155395747
138	0.8956661316	0.3130929313
139	0.8956661316	0.3128675838
140	0.8940609952	0.312757411
141	0.8956661316	0.3096258378
142	0.8956661316	0.3086989493
143	0.8956661316	0.3071470278
144	0.8956661316	0.3064910821
145	0.8956661316	0.305991251
146	0.8956661316	0.3050171657
147	0.8972712681	0.3044717691
148	0.8972712681	0.3041259184
149	0.8972712681	0.3036044706
150	0.8972712681	0.3027101284
151	0.8972712681	0.3026267478
152	0.8988764045	0.3018648592
153	0.8988764045	0.3013601518
154	0.8988764045	0.2993186052
155	0.8988764045	0.2986946951
156	0.8988764045	0.2984411726
157	0.8988764045	0.2983457586
158	0.8988764045	0.296421676
159	0.8988764045	0.2962999216
160	0.8988764045	0.2957190894
161	0.8988764045	0.2945243846
162	0.8988764045	0.2942107555
163	0.9004815409	0.293501212
164	0.9004815409	0.293455195
165	0.9004815409	0.2929952611
166	0.8988764045	0.2927232036
167	0.8988764045	0.292249192
168	0.8988764045	0.2919719126
169	0.8988764045	0.291054655
170	0.8972712681	0.290349259
171	0.8988764045	0.289063637
172	0.8988764045	0.2883261281
173	0.8988764045	0.2877184266
174	0.8972712681	0.2871237819
175	0.8972712681	0.2864212726
176	0.8972712681	0.2856944625
177	0.9004815409	0.2851374886
