iter	Accuracy	Logloss
178	0.9036918138	0.2845866513
179	0.9004815409	0.2841855015
180	0.9036918138	0.2841216648
181	0.9036918138	0.2836996223
182	0.9036918138	0.2826816766
183	0.9020866774	0.2812545469
184	0.9101123596	0.2797599601
185	0.9101123596	0.2789705292
186	0.9085072231	0.2785317195
187	0.9085072231	0.2784570113
188	0.9085072231	0.2783316775
189	0.9085072231	0.2779681987
190	0.9101123596	0.277194497
191	0.9085072231	0.2759692082
192	0.9069020867	0.2756656127
193	0.9085072231	0.2754864121
194	0.911717496	0.2747925336
195	0.911717496	0.2747380979
196	0.911717496	0.2746701051
197	0.911717496	0.27424027
198	0.911717496	0.2738403996
199	0.911717496	0.2731753703
200	0.911717496	0.2709268531
201	0.9133226324	0.2699744975
202	0.9133226324	0.2687965318
203	0.9149277689	0.2666713225
204	0.9149277689	0.2665612408
205	0.9165329053	0.265953992
206	0.9165329053	0.265729723
207	0.9165329053	0.2652281346
208	0.9165329053	0.2650240579
209	0.9165329053	0.264185637
210	0.9149277689	0.2628159069
211	0.9149277689	0.262490987
212	0.9197431782	0.2616919449
213	0.9197431782	0.2615948726
214	0.9197431782	0.2612732777
215	0.9197431782	0.2611897469
216	0.9197431782	0.2608663943
217	0.9197431782	0.2600361141
218	0.9213483146	0.2590308148
219	0.9213483146	0.2588699783
220	0.9213483146	0.2588325319
221	0.9213483146	0.2584768653
222	0.9213483146	0.2577284526
223	0.9213483146	0.2573364448
224	0.9213483146	0.2573192229
225	0.9213483146	0.2569182207
226	0.922953451	0.2558577827
227	0.922953451	0.2555428683
228	0.922953451	0.2554585613
229	0.922953451	0.2546408261
230	0.922953451	0.2544969002
231	0.922953451	0.2541627293
232	0.9245585875	0.2540623753
233	0.9245585875	0.2534560545
234	0.9245585875	0.2529420025
235	0.9245585875	0.2528867428
236	0.9245585875	0.2523105271
237	0.9245585875	0.2521674809
238	0.9245585875	0.2507053031
239	0.9245585875	0.2503144973
240	0.9245585875	0.2500969556
241	0.922953451	0.2496446431
242	0.922953451	0.2494768365
243	0.922953451	0.2492697353
244	0.922953451	0.2491454658
245	0.922953451	0.2484998622
246	0.9245585875	0.2480566864
247	0.922953451	0.2474149524
248	0.922953451	0.2472591675
249	0.9245585875	0.2468568898
250	0.9245585875	0.2463333148
251	0.9245585875	0.2458758834
252	0.9245585875	0.245795801
253	0.9245585875	0.245384612
254	0.9261637239	0.245352909
255	0.9261637239	0.245034592
256	0.9261637239	0.244208089
257	0.9245585875	0.2438411239
258	0.9245585875	0.2436488372
259	0.9245585875	0.2429024975
260	0.9245585875	0.2427682223
261	0.9261637239	0.2420569123
262	0.9277688604	0.2419322104
263	0.9245585875	0.2411915797
264	0.9277688604	0.239489795
265	0.9277688604	0.2392649019
266	0.9277688604	0.2391473888
267	0.9277688604	0.2390078183
268	0.9261637239	0.238869825
269	0.9261637239	0.2382962709
270	0.9261637239	0.2380881939
271	0.9261637239	0.238044215
272	0.9261637239	0.2375598768
273	0.9261637239	0.2375173482
274	0.9261637239	0.2370756132
275	0.9261637239	0.2366281732
276	0.9261637239	0.2365147006
277	0.9261637239	0.2364938261
278	0.9261637239	0.2359975554
279	0.9261637239	0.2359631057
280	0.9277688604	0.2357675948
281	0.9293739968	0.2350344766
282	0.9293739968	0.2349326814
283	0.9277688604	0.2342105349
284	0.9293739968	0.2341209927
285	0.9293739968	0.2340615468
286	0.9293739968	0.2340284358
287	0.9293739968	0.2340258463
288	0.9293739968	0.2339779168
289	0.9277688604	0.2333862018
290	0.9277688604	0.2333049442
291	0.9277688604	0.2327833526
292	0.9293739968	0.2325359534
293	0.9293739968	0.2323460023
294	0.9293739968	0.2322175112
295	0.9309791332	0.2317912273
296	0.9309791332	0.2316462804
297	0.9293739968	0.2312663227
298	0.9293739968	0.2306118257
299	0.9309791332	0.230337812
300	0.9309791332	0.2300300103
301	0.9309791332	0.2300087461
302	0.9309791332	0.2300023094
303	0.9309791332	0.2298067646
304	0.9309791332	0.2290871376
305	0.9309791332	0.2289011248
306	0.9309791332	0.2276918011
307	0.9309791332	0.2275705509
308	0.9309791332	0.2273864452
309	0.9309791332	0.2264931191
310	0.9309791332	0.2264450792
311	0.9309791332	0.2263124894
312	0.9309791332	0.2262400342
313	0.9309791332	0.225730838
314	0.9309791332	0.2256316762
315	0.9309791332	0.2256106889
316	0.9309791332	0.2251369738
317	0.9325842697	0.2246145008
318	0.9325842697	0.2238405948
319	0.9325842697	0.2236211432
320	0.9325842697	0.223530559
321	0.9325842697	0.2234075644
322	0.9325842697	0.2233666904
323	0.9325842697	0.2232175223
324	0.9325842697	0.2230685432
325	0.9325842697	0.2228845476
326	0.9325842697	0.2226339423
327	0.9325842697	0.222405911
328	0.9325842697	0.2222803208
329	0.9341894061	0.2215461734
330	0.9341894061	0.2208065118
331	0.9341894061	0.2194087549
332	0.9341894061	0.2191430399
333	0.9341894061	0.2184829183
334	0.9357945425	0.2180057067
335	0.9357945425	0.2174588874
336	0.9357945425	0.2174199289
337	0.9341894061	0.217164125
338	0.9357945425	0.21541874
339	0.9341894061	0.215070905
340	0.9341894061	0.214562119
341	0.9341894061	0.2136798904
342	0.9341894061	0.2134863206
343	0.9341894061	0.2128621451
344	0.9341894061	0.2125119909
345	0.9341894061	0.2123921043
346	0.9357945425	0.2122475115
347	0.9357945425	0.2120971423
348	0.9357945425	0.2119642437
349	0.9357945425	0.2119268249
350	0.9357945425	0.211665396
351	0.9357945425	0.2116171049
352	0.9357945425	0.2115992504
353	0.9357945425	0.2107005531
354	0.9357945425	0.2105520359
355	0.9357945425	0.2103638968
356	0.9357945425	0.2101984336
357	0.9357945425	0.2092026219
358	0.9357945425	0.2091271238
359	0.9357945425	0.2090450242
360	0.9357945425	0.2089463042
361	0.9357945425	0.208627486
362	0.9357945425	0.2084880598
363	0.9357945425	0.2084802474
364	0.9357945425	0.207992623
365	0.9357945425	0.2079489825
366	0.9357945425	0.2078204381
367	0.9357945425	0.2077255294
368	0.9357945425	0.2077113378
369	0.9357945425	0.2075935099
370	0.9357945425	0.2069980078
371	0.9357945425	0.2067270111
372	0.9357945425	0.2067047939
373	0.9357945425	0.2059604583
374	0.9357945425	0.2059028286
375	0.9357945425	0.2058108046
376	0.9357945425	0.2050635219
377	0.9357945425	0.2050579879
378	0.9357945425	0.2048985039
379	0.9357945425	0.2036628041
380	0.9357945425	0.2029675096
381	0.9357945425	0.2029602333
382	0.9357945425	0.2026916372
383	0.9357945425	0.2025729624
384	0.9357945425	0.2024806474
385	0.9357945425	0.2024725131
386	0.9357945425	0.2023555866
387	0.9357945425	0.2023400563
388	0.9357945425	0.202329441
389	0.9357945425	0.2021109274
390	0.9357945425	0.2021032613
391	0.9357945425	0.2020066159
392	0.9357945425	0.2016937113
393	0.9357945425	0.2016760722
394	0.9357945425	0.201310752
395	0.9357945425	0.2011690013
396	0.9357945425	0.2011146637
397	0.9357945425	0.2004261252
398	0.9357945425	0.2002267803
399	0.9357945425	0.2002128072
400	0.9357945425	0.2001917856
401	0.9357945425	0.1997329801
402	0.9357945425	0.1996663631
403	0.9357945425	0.1996200531
404	0.9357945425	0.1995286336
405	0.9357945425	0.1990294861
406	0.9357945425	0.198883517
407	0.9357945425	0.1988535289
408	0.9357945425	0.1986381109
409	0.9357945425	0.1978309682
410	0.9357945425	0.1977463646
411	0.9357945425	0.1973749113
412	0.9357945425	0.1971961063
413	0.9357945425	0.1969458315
414	0.9357945425	0.1969027309
415	0.9357945425	0.1968056533
416	0.9357945425	0.1966865048
417	0.9357945425	0.1965337308
418	0.9357945425	0.1964871811
419	0.9357945425	0.1964558687
420	0.9357945425	0.1964394094
421	0.9357945425	0.1963417978
422	0.9357945425	0.1956946218
423	0.9357945425	0.1951934557
424	0.9357945425	0.1951857455
425	0.9357945425	0.1951520004
426	0.9357945425	0.1938478705
427	0.9357945425	0.1923667389
428	0.9357945425	0.1922846808
429	0.9357945425	0.192260941
430	0.9357945425	0.1922057508
431	0.937399679	0.1921710715
432	0.937399679	0.1917377654
433	0.937399679	0.1917136938
434	0.937399679	0.1916964475
435	0.937399679	0.1914078895
436	0.937399679	0.1910239111
437	0.937399679	0.1909994724
438	0.937399679	0.1909857158
439	0.937399679	0.1908766721
440	0.937399679	0.1908002186
441	0.9357945425	0.190488454
442	0.9357945425	0.1904789472
443	0.9357945425	0.1902621232
444	0.9357945425	0.1883299302
445	0.9357945425	0.1882918517
446	0.9357945425	0.1882541419
447	0.9357945425	0.188176709
448	0.9357945425	0.1870971364
449	0.9357945425	0.186811694
450	0.9357945425	0.1868037692
451	0.9357945425	0.186754527
452	0.9357945425	0.1867457791
453	0.9357945425	0.1867344579
454	0.9357945425	0.1867049805
455	0.9357945425	0.1866586204
456	0.9357945425	0.1865941762
457	0.9357945425	0.1865256467
458	0.9357945425	0.1865223621
459	0.9357945425	0.186290413
460	0.9357945425	0.1862359218
461	0.9357945425	0.1861908607
462	0.9357945425	0.1856188649
463	0.9357945425	0.1854665746
464	0.9357945425	0.1853173763
465	0.9357945425	0.1851739399
466	0.9357945425	0.1849744737
467	0.9357945425	0.1849165794
468	0.9357945425	0.1847044323
469	0.9357945425	0.1845131559
470	0.9357945425	0.1840226396
471	0.9357945425	0.1839584997
472	0.9357945425	0.1838871628
473	0.9357945425	0.1838293546
474	0.9357945425	0.1838210097
475	0.9357945425	0.1837908099
476	0.9357945425	0.1830248448
477	0.9357945425	0.1829895133
478	0.9357945425	0.1829251936
479	0.9357945425	0.1828526678
480	0.9357945425	0.182743093
481	0.9357945425	0.1825768621
482	0.9357945425	0.1825723373
483	0.9357945425	0.1825626743
484	0.9357945425	0.1825401966
485	0.9357945425	0.1822048405
486	0.9357945425	0.1816407315
487	0.9357945425	0.1816270117
488	0.937399679	0.1813943364
489	0.937399679	0.1813712289
490	0.937399679	0.1813539198
491	0.937399679	0.1812961023
492	0.9357945425	0.1812600489
493	0.9357945425	0.1812543952
494	0.937399679	0.1811403063
495	0.937399679	0.1808517714
496	0.937399679	0.1806424818
497	0.937399679	0.179946021
498	0.937399679	0.179879601
499	0.937399679	0.1798414078
