iter	Passed	Remaining
246	20062	20549
247	20155	20480
248	20250	20413
249	20338	20338
250	20442	20279
251	20532	20206
252	20632	20143
253	20724	20071
254	20815	19998
255	20904	19924
256	20992	19848
257	21083	19776
258	21172	19701
259	21269	19633
260	21352	19552
261	21446	19482
262	21535	19406
263	21633	19338
264	21719	19260
265	21807	19183
266	21896	19107
267	21989	19035
268	22080	18961
269	22172	18887
270	22268	18817
271	22353	18737
272	22447	18664
273	22527	18581
274	22616	18504
275	22711	18432
276	22800	18355
277	22887	18276
278	22972	18196
279	23070	18126
280	23156	18047
281	23246	17970
282	23330	17889
283	23421	17813
284	23512	17737
285	23591	17652
286	23672	17568
287	23749	17482
288	23833	17400
289	23924	17324
290	24014	17247
291	24098	17165
292	24188	17088
293	24285	17016
294	24371	16936
295	24466	16862
296	24558	16785
297	24647	16707
298	24747	16636
299	24826	16550
300	24916	16472
301	25012	16398
302	25108	16324
303	25199	16247
304	25285	16166
305	25381	16091
306	25481	16019
307	25570	15939
308	25651	15855
309	25746	15780
310	25834	15699
311	25925	15621
312	26005	15536
313	26105	15463
314	26202	15388
315	26290	15308
316	26377	15227
317	26468	15148
318	26554	15066
319	26642	14986
320	26732	14906
321	26818	14825
322	26908	14745
323	26998	14665
324	27091	14587
325	27188	14511
326	27282	14433
327	27374	14354
328	27473	14279
329	27560	14197
330	27645	14115
331	27731	14032
332	27809	13946
333	27910	13871
334	28011	13796
335	28106	13718
336	28195	13637
337	28283	13556
338	28377	13477
339	28480	13402
340	28577	13324
341	28669	13244
342	28766	13167
343	28859	13087
344	28943	13003
345	29038	12924
346	29117	12838
347	29204	12756
348	29297	12676
349	29388	12595
350	29483	12515
351	29576	12435
352	29665	12353
353	29755	12271
354	29840	12188
355	29935	12108
356	30031	12029
357	30119	11946
358	30202	11862
359	30281	11776
360	30366	11692
361	30450	11608
362	30544	11527
363	30628	11443
364	30722	11362
365	30815	11282
366	30904	11199
367	31000	11119
368	31085	11035
369	31182	10956
370	31285	10878
371	31380	10797
372	31474	10716
373	31575	10637
374	31677	10559
375	31771	10477
376	31860	10394
377	31951	10312
378	32031	10226
379	32128	10145
380	32219	10063
381	32305	9979
382	32400	9897
383	32499	9817
384	32592	9735
385	32672	9649
386	32772	9569
387	32862	9486
388	32943	9400
389	33024	9314
390	33129	9235
391	33222	9153
392	33314	9070
393	33405	8987
394	33482	8900
395	33566	8815
396	33671	8736
397	33763	8652
398	33854	8569
399	33956	8489
400	34053	8407
401	34159	8327
402	34251	8244
403	34328	8157
404	34410	8071
405	34516	7991
406	34613	7909
407	34708	7826
408	34796	7742
409	34877	7656
410	34960	7570
411	35066	7489
412	35167	7408
413	35267	7326
414	35370	7244
415	35466	7161
416	35554	7076
417	35639	6991
418	35731	6907
419	35825	6823
420	35917	6739
421	36002	6654
422	36097	6570
423	36198	6488
424	36291	6404
425	36383	6320
426	36467	6234
427	36554	6149
428	36649	6065
429	36734	5980
430	36816	5894
431	36910	5809
432	37000	5725
433	37094	5641
434	37186	5556
435	37273	5471
436	37367	5387
437	37456	5302
438	37549	5217
439	37640	5132
440	37725	5047
441	37820	4962
442	37904	4877
443	37996	4792
444	38085	4707
445	38177	4622
446	38275	4538
447	38367	4453
448	38465	4369
449	38558	4284
450	38652	4199
451	38740	4114
452	38838	4029
453	38936	3945
454	39022	3859
455	39105	3773
456	39201	3688
457	39291	3603
458	39383	3517
459	39466	3431
460	39569	3347
461	39659	3262
462	39751	3176
463	39839	3090
464	39924	3005
465	40012	2919
466	40112	2834
467	40202	2748
468	40279	2662
469	40379	2577
470	40462	2491
471	40553	2405
472	40658	2320
473	40742	2234
474	40824	2148
475	40941	2064
476	41074	1980
477	41189	1895
478	41293	1810
479	41392	1724
480	41510	1639
481	41619	1554
482	41688	1467
483	41782	1381
484	41875	1295
485	41974	1209
486	42065	1122
487	42153	1036
488	42233	950
489	42323	863
490	42424	777
491	42517	691
492	42627	605
493	42715	518
494	42799	432
495	42919	346
496	43031	259
497	43132	173
498	43233	86
499	43320	0
