iter	Passed	Remaining
0	146	73061
1	216	53807
2	282	46883
3	346	42980
4	452	44748
5	550	45310
6	645	45455
7	739	45480
8	835	45594
9	903	44294
10	955	42463
11	1015	41308
12	1081	40520
13	1153	40046
14	1196	38691
15	1285	38872
16	1327	37709
17	1377	36880
18	1410	35712
19	1498	35973
20	1598	36460
21	1626	35339
22	1672	34691
23	1732	34355
24	1799	34197
25	1829	33359
26	1875	32853
27	1930	32548
28	1972	32040
29	2032	31843
30	2085	31545
31	2137	31264
32	2187	30950
33	2264	31040
34	2285	30365
35	2332	30065
36	2349	29397
37	2374	28867
38	2413	28529
39	2443	28104
40	2500	27998
41	2596	28309
42	2643	28093
43	2662	27591
44	2734	27649
45	2778	27426
46	2864	27607
47	2881	27134
48	2907	26758
49	2947	26527
50	2979	26229
51	3004	25884
52	3018	25459
53	3066	25327
54	3164	25605
55	3187	25275
56	3218	25016
57	3234	24650
58	3263	24392
59	3312	24292
60	3418	24600
61	3447	24354
62	3487	24192
63	3553	24209
64	3651	24440
65	3743	24615
66	3764	24327
67	3788	24070
68	3841	23992
69	3911	24030
70	3962	23941
71	4036	23993
72	4088	23915
73	4182	24077
74	4240	24027
75	4297	23974
76	4385	24092
77	4455	24105
78	4528	24135
79	4615	24232
80	4701	24319
81	4791	24425
82	4851	24371
83	4933	24432
84	5029	24555
85	5133	24714
86	5226	24809
87	5282	24733
88	5376	24827
89	5484	24983
90	5580	25080
91	5671	25150
92	5764	25229
93	5844	25241
94	5940	25325
95	6047	25448
96	6143	25525
97	6241	25603
98	6335	25660
99	6427	25710
100	6519	25756
101	6608	25785
102	6689	25784
103	6780	25818
104	6881	25888
105	6969	25906
106	7059	25929
107	7145	25935
108	7241	25975
109	7286	25833
110	7372	25837
111	7458	25839
112	7504	25701
113	7586	25687
114	7673	25688
115	7758	25684
116	7841	25670
117	7938	25699
118	8043	25751
119	8130	25747
120	8224	25761
121	8318	25772
122	8403	25756
123	8484	25727
124	8580	25740
125	8671	25740
126	8761	25733
127	8841	25694
128	8943	25721
129	9030	25703
130	9118	25685
131	9212	25684
132	9305	25678
133	9388	25642
134	9473	25613
135	9559	25585
136	9650	25570
137	9735	25537
138	9826	25521
139	9919	25506
140	10012	25493
141	10101	25467
142	10191	25443
143	10285	25428
144	10373	25398
145	10464	25372
146	10557	25352
147	10656	25345
148	10751	25327
149	10834	25279
150	10937	25279
151	11031	25255
152	11127	25236
153	11222	25213
154	11312	25178
155	11428	25201
156	11531	25192
157	11637	25190
158	11735	25169
159	11831	25142
160	11928	25116
161	12018	25075
162	12120	25057
163	12211	25019
164	12319	25013
165	12416	24983
166	12505	24937
167	12605	24911
168	12705	24883
169	12814	24875
170	12918	24855
171	13023	24834
172	13119	24798
173	13217	24764
174	13319	24736
175	13416	24699
176	13542	24712
177	13642	24678
178	13738	24637
179	13832	24590
180	13894	24487
181	13976	24420
182	14078	24387
183	14179	24352
184	14282	24318
185	14379	24275
186	14472	24223
187	14550	24147
188	14647	24102
189	14755	24075
190	14854	24031
191	14950	23983
192	15040	23925
193	15113	23839
194	15205	23782
195	15297	23725
196	15382	23658
197	15466	23590
198	15562	23538
199	15660	23491
200	15759	23443
201	15860	23397
202	15949	23334
203	16037	23269
204	16130	23211
205	16229	23162
206	16317	23096
207	16410	23037
208	16510	22988
209	16599	22922
210	16700	22874
211	16804	22828
212	16892	22760
213	16979	22691
214	17069	22626
215	17165	22569
216	17256	22505
217	17355	22451
218	17440	22378
219	17522	22301
220	17625	22251
221	17717	22187
222	17811	22124
223	17896	22050
224	17992	21990
225	18082	21922
226	18169	21851
227	18264	21789
228	18353	21720
229	18459	21669
230	18574	21629
231	18665	21562
232	18753	21489
233	18846	21423
234	18940	21357
235	19040	21300
236	19133	21232
237	19222	21160
238	19310	21088
239	19408	21026
240	19498	20954
241	19605	20901
242	19699	20834
243	19794	20767
244	19881	20692
245	19966	20616
